Time(Year),AbsRisk_T1,AbsRisk_T3,RiskDiff,NNT
0.0027378507871321013,0.0006729475100941684,0.0014094432699084392,0.0007364957598142707,1358
0.0027378507871321013,0.0006729475100941684,0.0014094432699084392,0.0007364957598142707,1358
0.008213552361396304,0.0007280660701167812,0.002125792306300167,0.001397726236183386,716
0.04654346338124572,0.0011138959902750704,0.0028916205547220297,0.0017777245644469593,563
0.07665982203969883,0.0014170480703994404,0.0034678323841887144,0.002050784313789274,488
0.08213552361396304,0.002167298222112146,0.0035725981713644753,0.0014052999492523291,712
0.08761122518822724,0.002226753188553058,0.0036773639585402362,0.0014506107699871784,690
0.12594113620807665,0.0026429379536394397,0.004480202504907216,0.0018372645512677761,545
0.13141683778234087,0.002702392920080352,0.005285639234272166,0.002583246314191814,388
0.15331964407939766,0.0029402127858439986,0.006383557954764122,0.003443345168920123,291
0.16427104722792607,0.0029784527700125237,0.0069325173150101005,0.003954064544997577,253
0.17248459958932238,0.0030071327581389176,0.007758009819320177,0.00475087706118126,211
0.2135523613963039,0.003150532698770887,0.00860103614912533,0.005450503450354443,184
0.216290212183436,0.003160092694813018,0.009445498639628624,0.006285405944815607,160
0.30390143737166325,0.0034660125681612195,0.010310611741253362,0.006844599173092142,147
0.3258042436687201,0.00354249253649827,0.011179522529891517,0.007637029993393247,131
0.34496919917864477,0.0036094125087931888,0.012052267876290546,0.008442855367497356,119
0.3860369609856263,0.003752812449425158,0.012286674962368621,0.008533862512943463,118
0.5037645448323066,0.00410873326252484,0.012958641942459104,0.008849908679934263,113
0.5174537987679672,0.004150119403582943,0.013867519804390604,0.009717400400807662,103
0.6160164271047228,0.004448099619201281,0.014791730188828844,0.010343630569627563,97
0.6652977412731006,0.0045970897270104505,0.01489771214556412,0.01030062241855367,98
1.0704996577686516,0.0054111902504433125,0.015769119345387494,0.010357929094944183,97
1.103353867214237,0.005477198400991923,0.01642396357735998,0.010946765176368056,92
1.1197809719370295,0.005718939480622208,0.01675138569334622,0.011032446212724013,91
1.163586584531143,0.0063635823596362995,0.017161745863127548,0.010798163503491248,93
1.2210814510609171,0.007252344808330702,0.017700343585965537,0.010447998777634835,96
1.2265571526351813,0.007273642921588912,0.017751638607188203,0.01047799568559929,96
1.264887063655031,0.007422729714396388,0.01875495664742599,0.011332226933029602,89
1.2813141683778233,0.007486624054171019,0.019760330667254467,0.012273706613083447,82
1.3634496919917864,0.007806095753044179,0.020775071525776956,0.012968975772732778,78
1.4565366187542779,0.00816816367843376,0.021288387091119593,0.013120223412685834,77
1.5523613963039014,0.00852906602772475,0.021816800173089956,0.013287734145365207,76
1.5770020533880904,0.008621869488971005,0.022862985413546588,0.014241115924575583,71
1.7056810403832992,0.009106509786590333,0.02361129799396699,0.014504788207376655,69
1.7604380561259412,0.009606531732502149,0.023929728879252266,0.014323197146750117,70
1.809719370294319,0.010056551483822784,0.024470188608554988,0.014413637124732204,70
1.8590006844626967,0.010182196541454228,0.02501064833785771,0.014828451796403483,68
1.8836413415468858,0.01024501907026995,0.026096382582470268,0.015851363512200317,64
