FoldHoldOut,Metric,Value,LB,UB,N_subject,N_row
stan,CIndex,0.9569678914622689,0.9271661850230606,0.9810065845849704,262.0,36481.0
bch,CIndex,0.9801164834780142,0.9681145339552518,0.9876118854737381,318.0,18022.0
bidmc,CIndex,0.9922567318096557,0.9898668432192619,0.9941470702989316,3981.0,140257.0
emory,CIndex,0.8069531711742025,0.7195539601422355,0.8949508569248454,256.0,28325.0
mgb,CIndex,0.973226544699063,0.9536949483883275,0.9847432629392469,4007.0,437394.0
