FoldHoldOut,Metric,Value,LB,UB,N_subject,N_row
stan,CIndex,0.6564585438851684,0.5696803492307875,0.7481232405779034,433.0,60891.0
bch,CIndex,0.8154505271025162,0.6535526171545141,0.9541268538725645,319.0,19841.0
bidmc,CIndex,0.8094964059856488,0.7513467878442345,0.8606794040320955,3967.0,135699.0
emory,CIndex,0.6775377408826788,0.4392502093378862,0.9057807776408495,282.0,32391.0
mgb,CIndex,0.7721139726877545,0.6328585493833682,0.9472783751279785,4006.0,432341.0
