FoldHoldOut,Metric,Value,LB,UB,N_subject,N_row
bch,CIndex,0.8695623576227817,0.8379647681854774,0.8982967283745057,637.0,37863.0
bidmc,CIndex,0.8874456373524915,0.8631683868520291,0.9081398499726617,664.0,61328.0
emory,CIndex,0.9157235384640674,0.8543253757113098,0.9591817213556815,538.0,60716.0
mgb,CIndex,0.7488569327132011,0.6257876299295666,0.8702200550262839,291.0,38967.0
stan,CIndex,0.5377594798453187,0.4348363340178699,0.6835710538437592,695.0,97372.0
